Edition	Country	MedalCount
1988	BDI	0
1992	BDI	0
1996	BDI	1
2000	BDI	0
2004	BDI	0
2008	BDI	0
1896	BEL	0
1900	BEL	39
1904	BEL	0
1908	BEL	31
1912	BEL	19
1920	BEL	188
1924	BEL	38
1928	BEL	5
1932	BEL	0
1936	BEL	12
1948	BEL	14
1952	BEL	7
1956	BEL	2
1960	BEL	4
1964	BEL	3
1968	BEL	3
1972	BEL	2
1976	BEL	9
1980	BEL	1
1984	BEL	5
1988	BEL	2
1992	BEL	3
1996	BEL	6
2000	BEL	7
2004	BEL	3
2008	BEL	5
1896	BER	0
1900	BER	0
1904	BER	0
1908	BER	0
1912	BER	0
1920	BER	0
1924	BER	0
1928	BER	0
1932	BER	0
1936	BER	0
1948	BER	0
1952	BER	0
1956	BER	0
1960	BER	0
1964	BER	0
1968	BER	0
1972	BER	0
1976	BER	1
1980	BER	0
1984	BER	0
1988	BER	0
1992	BER	0
1996	BER	0
2000	BER	0
2004	BER	0
2008	BER	0
1896	BLR	0
1900	BLR	0
1904	BLR	0
1908	BLR	0
1912	BLR	0
1920	BLR	0
1924	BLR	0
1928	BLR	0
1932	BLR	0
1936	BLR	0
1948	BLR	0
1952	BLR	0
1956	BLR	0
1960	BLR	0
1964	BLR	0
1968	BLR	0
1972	BLR	0
1976	BLR	0
1980	BLR	0
1984	BLR	0
1988	BLR	0
1992	BLR	0
1996	BLR	23
2000	BLR	22
2004	BLR	17
2008	BLR	30
1896	BOH	0
1900	BOH	2
1904	BOH	0
1908	BOH	5
1912	BOH	0
1920	BOH	0
1924	BOH	0
1928	BOH	0
1932	BOH	0
1936	BOH	0
1948	BOH	0
1952	BOH	0
1956	BOH	0
1960	BOH	0
1964	BOH	0
1968	BOH	0
1972	BOH	0
1976	BOH	0
1980	BOH	0
1984	BOH	0
1988	BOH	0
1992	BOH	0
1996	BOH	0
2000	BOH	0
2004	BOH	0
2008	BOH	0
1896	BRA	0
1900	BRA	0
1904	BRA	0
1908	BRA	0
1912	BRA	0
1920	BRA	7
1924	BRA	0
1928	BRA	0
1932	BRA	0
1936	BRA	0
1948	BRA	12
1952	BRA	3
1956	BRA	1
1960	BRA	13
1964	BRA	12
1968	BRA	4
1972	BRA	2
1976	BRA	3
1980	BRA	9
1984	BRA	37
1988	BRA	28
1992	BRA	14
1996	BRA	64
2000	BRA	48
2004	BRA	40
2008	BRA	75
1896	BUL	0
1900	BUL	0
1904	BUL	0
1908	BUL	0
1912	BUL	0
1920	BUL	0
1924	BUL	0
1928	BUL	0
1932	BUL	0
1936	BUL	0
1948	BUL	0
1952	BUL	1
1956	BUL	18
1960	BUL	7
1964	BUL	10
1968	BUL	26
1972	BUL	22
1976	BUL	39
1980	BUL	94
1984	BUL	0
1988	BUL	41
1992	BUL	17
1996	BUL	21
2000	BUL	13
2004	BUL	17
2008	BUL	5
1896	BWI	0
1900	BWI	0
1904	BWI	0
1908	BWI	0
1912	BWI	0
1920	BWI	0
1924	BWI	0
1928	BWI	0
1932	BWI	0
1936	BWI	0
1948	BWI	0
1952	BWI	0
1956	BWI	0
1960	BWI	5
1964	BWI	0
1968	BWI	0
1972	BWI	0
1976	BWI	0
1980	BWI	0
1984	BWI	0
1988	BWI	0
1992	BWI	0
1996	BWI	0
2000	BWI	0
2004	BWI	0
2008	BWI	0
1896	CAN	0
1900	CAN	2
1904	CAN	35
1908	CAN	51
1912	CAN	8
1920	CAN	16
1924	CAN	20
1928	CAN	33
1932	CAN	38
1936	CAN	22
1948	CAN	6
1952	CAN	4
1956	CAN	19
1960	CAN	9
1964	CAN	5
1968	CAN	10
1972	CAN	10
1976	CAN	20
1980	CAN	0
1984	CAN	86
1988	CAN	21
1992	CAN	44
1996	CAN	51
2000	CAN	31
2004	CAN	17
2008	CAN	34
1896	CHI	0
1900	CHI	0
1904	CHI	0
1908	CHI	0
1912	CHI	0
1920	CHI	0
1924	CHI	0
1928	CHI	1
1932	CHI	0
1936	CHI	0
1948	CHI	0
1952	CHI	4
1956	CHI	4
1960	CHI	0
1964	CHI	0
1968	CHI	0
1972	CHI	0
1976	CHI	0
1980	CHI	0
1984	CHI	0
1988	CHI	1
1992	CHI	0
1996	CHI	0
2000	CHI	18
2004	CHI	4
2008	CHI	1
1896	CHN	0
1900	CHN	0
1904	CHN	0
1908	CHN	0
1912	CHN	0
1920	CHN	0
1924	CHN	0
1928	CHN	0
1932	CHN	0
1936	CHN	0
1948	CHN	0
1952	CHN	0
1956	CHN	0
1960	CHN	0
1964	CHN	0
1968	CHN	0
1972	CHN	0
1976	CHN	0
1980	CHN	0
1984	CHN	76
